date;val1;val2;val3;val4;val5;val6;val7;val8;vbl1;vbl2;vbl3;vbl4;vbl5;vbl6;vbl7;vbl8;vbsv;vcsv;vk4;vk6;temp1;temp2;temp3;temp4;amb_temp;amb_rh;amb_pressure;box_temp;dut_temp;tec_curr;sv_temp;
13/01/2025-13:18:22;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000071007172e+01;1.000071007172e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999862397e+01;6.058704569e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324560000e+01;0.000000000e+00;0.000000000e+00;2.224730000e+01;0.0;0.0;23.0;0.0;22.643;18.2;1005.7;28.014;27.782;0.166;28.000;
13/01/2025-13:18:36;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000071015810e+01;1.000071015810e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999868557e+01;6.058707092e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324580000e+01;0.000000000e+00;0.000000000e+00;2.224820000e+01;0.0;0.0;23.0;0.0;22.648;18.2;1005.7;28.007;27.784;0.183;28.000;
13/01/2025-13:18:49;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000071032294e+01;1.000071032294e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999868539e+01;6.058709272e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324560000e+01;0.000000000e+00;0.000000000e+00;2.225510000e+01;0.0;0.0;23.0;0.0;22.648;18.2;1005.7;28.014;27.785;0.151;28.000;
13/01/2025-13:19:03;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000071045211e+01;1.000071045211e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999874555e+01;6.058712461e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324530000e+01;0.000000000e+00;0.000000000e+00;2.224490000e+01;0.0;0.0;23.0;0.0;22.663;18.2;1005.8;28.005;27.788;0.192;28.000;
13/01/2025-13:19:16;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000071055033e+01;1.000071055033e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999859811e+01;6.058712803e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324560000e+01;0.000000000e+00;0.000000000e+00;2.224830000e+01;0.0;0.0;23.0;0.0;22.663;18.2;1005.8;28.011;27.790;0.176;28.000;
13/01/2025-13:19:29;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000071064241e+01;1.000071064241e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999859309e+01;6.058716766e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324610000e+01;0.000000000e+00;0.000000000e+00;2.225280000e+01;0.0;0.0;23.0;0.0;22.663;18.2;1005.7;28.004;27.791;0.177;28.000;
13/01/2025-13:19:43;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000071072282e+01;1.000071072282e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999865378e+01;6.058719397e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324540000e+01;0.000000000e+00;0.000000000e+00;2.225430000e+01;0.0;0.0;23.0;0.0;22.653;18.2;1005.7;28.008;27.794;0.183;28.000;
13/01/2025-13:19:56;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000071082308e+01;1.000071082308e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999874483e+01;6.058721235e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324590000e+01;0.000000000e+00;0.000000000e+00;2.224920000e+01;0.0;0.0;23.0;0.0;22.663;18.2;1005.7;28.005;27.796;0.171;28.000;
13/01/2025-13:20:10;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000071089521e+01;1.000071089521e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999870281e+01;6.058722478e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324580000e+01;0.000000000e+00;0.000000000e+00;2.224780000e+01;0.0;0.0;23.0;0.0;22.653;18.2;1005.7;28.009;27.798;0.171;28.000;
13/01/2025-13:20:23;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000071096880e+01;1.000071096880e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999857172e+01;6.058724676e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324580000e+01;0.000000000e+00;0.000000000e+00;2.226130000e+01;0.0;0.0;23.0;0.0;22.653;18.2;1005.8;28.004;27.800;0.188;28.000;
13/01/2025-13:20:37;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000071112479e+01;1.000071112479e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999856364e+01;6.058727775e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324590000e+01;0.000000000e+00;0.000000000e+00;2.225640000e+01;0.0;0.0;23.0;0.0;22.648;18.2;1005.8;28.012;27.802;0.174;28.000;
13/01/2025-13:20:50;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000071122751e+01;1.000071122751e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999868234e+01;6.058730243e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324590000e+01;0.000000000e+00;0.000000000e+00;2.222570000e+01;0.0;0.0;23.0;0.0;22.643;18.2;1005.8;28.015;27.804;0.153;28.000;
13/01/2025-13:21:04;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000071125768e+01;1.000071125768e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999863744e+01;6.058730315e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324630000e+01;0.000000000e+00;0.000000000e+00;2.222630000e+01;0.0;0.0;23.0;0.0;22.653;18.2;1005.7;28.009;27.806;0.163;28.000;
13/01/2025-13:21:17;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000071137449e+01;1.000071137449e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999861499e+01;6.058734567e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324570000e+01;0.000000000e+00;0.000000000e+00;2.224360000e+01;0.0;0.0;23.0;0.0;22.658;18.2;1005.7;28.009;27.808;0.157;28.000;
13/01/2025-13:21:31;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000071151487e+01;1.000071151487e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999859758e+01;6.058734135e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324620000e+01;0.000000000e+00;0.000000000e+00;2.226680000e+01;0.0;0.0;23.0;0.0;22.648;18.2;1005.7;28.016;27.809;0.133;28.000;
13/01/2025-13:21:44;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000071160654e+01;1.000071160654e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999854765e+01;6.058737269e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324550000e+01;0.000000000e+00;0.000000000e+00;2.227040000e+01;0.0;0.0;23.0;0.0;22.668;18.2;1005.7;28.008;27.811;0.183;28.000;
13/01/2025-13:21:58;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000071170533e+01;1.000071170533e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999869975e+01;6.058738621e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324560000e+01;0.000000000e+00;0.000000000e+00;2.225340000e+01;0.0;0.0;23.0;0.0;22.653;18.2;1005.7;28.005;27.814;0.186;28.000;
13/01/2025-13:22:11;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000071178354e+01;1.000071178354e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999860925e+01;6.058740819e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324570000e+01;0.000000000e+00;0.000000000e+00;2.224630000e+01;0.0;0.0;23.0;0.0;22.663;18.2;1005.7;28.013;27.815;0.149;28.000;
13/01/2025-13:22:25;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000071187866e+01;1.000071187866e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999860494e+01;6.058744224e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324610000e+01;0.000000000e+00;0.000000000e+00;2.225430000e+01;0.0;0.0;23.0;0.0;22.663;18.2;1005.7;28.013;27.818;0.155;28.000;
13/01/2025-13:22:38;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000071200658e+01;1.000071200658e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999865666e+01;6.058744674e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324540000e+01;0.000000000e+00;0.000000000e+00;2.225770000e+01;0.0;0.0;23.0;0.0;22.663;18.2;1005.7;28.008;27.819;0.164;28.000;
13/01/2025-13:22:52;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000071209657e+01;1.000071209657e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999876548e+01;6.058744494e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324550000e+01;0.000000000e+00;0.000000000e+00;2.225160000e+01;0.0;0.0;23.0;0.0;22.658;18.2;1005.7;28.012;27.820;0.155;28.000;
13/01/2025-13:23:05;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000071217702e+01;1.000071217702e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999870083e+01;6.058747143e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324620000e+01;0.000000000e+00;0.000000000e+00;2.224680000e+01;0.0;0.0;23.0;0.0;22.668;18.2;1005.6;28.013;27.823;0.166;28.000;
13/01/2025-13:23:19;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000071227220e+01;1.000071227220e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999869113e+01;6.058747557e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324610000e+01;0.000000000e+00;0.000000000e+00;2.225710000e+01;0.0;0.0;23.0;0.0;22.668;18.2;1005.6;28.014;27.826;0.144;28.000;
